x,y,z,yaw,pitch,roll
3.863666112,0.805080293,-4.742524241,51.61653377,14.36158006,12.24920734
-2.796302187,1.40081461,-2.273241112,86.91056252,-41.87228052,-5.592979509
1.400864008,2.909066013,-2.81253817,-17.30188437,-18.74796039,9.466584056
-1.005536123,0.650157022,-3.400939644,-67.6531943,15.78985076,-12.39187898
0.843157819,-2.695734826,-2.272649288,-54.20767236,-33.19058263,-24.88641917
3.391575646,-2.748844654,-2.22439413,86.03474447,-41.65872674,-31.28424631
-3.526422042,-3.432517182,-3.509651202,65.97678829,-18.13483808,-6.171011778
2.143347353,2.014487497,-3.294052476,73.24592784,-30.09488054,3.314201607
2.551684293,-1.083256407,-3.018837591,-18.6126184,-22.73802988,-30.30038992
2.986280629,-3.44836503,-2.126482806,-79.19950791,0.8978794,29.95124937
2.252091204,2.392295094,-3.046019984,-44.32071251,40.14837492,-3.094293695
-0.249279503,2.559395308,-3.383058029,-57.74473727,8.749317104,22.44761252
3.996128336,-3.621608964,-2.241755329,-30.11704403,-40.816794,-2.955655403
2.028191602,-2.686090852,-2.942091228,53.77552446,-30.80878253,11.47234167
-3.686372155,-1.696450196,-4.177663763,-31.60734583,-10.31859684,-42.03797973
0.692404279,0.182715764,-4.744898507,-81.32113329,-23.2780464,-22.67817117
3.053730274,3.496727015,-2.155677832,-55.45811519,14.28782506,12.36711098
-2.334747841,0.194746051,-2.272710116,-56.4557959,-35.41881235,-43.57751843
1.181666736,1.615661483,-2.155578988,-17.48595883,32.91528716,-40.8696461
-0.551282982,3.204557188,-2.101670128,34.04813463,-24.23130679,-41.87991063
1.159264018,0.075921879,-4.383468635,81.76835841,13.85895698,41.48772088
1.731243856,1.259460333,-3.239355376,69.39127237,39.45197898,-19.62202514
-0.803483994,0.124689711,-4.936662145,-82.26036258,-16.31240203,34.6170384
3.84255926,2.86482876,-2.473586895,20.12107246,44.89596673,24.63604568
0.293273966,1.280835948,-4.487991677,-78.85098145,32.8335925,-14.33378019
2.440537685,3.626576086,-4.394601063,37.6294776,-22.22170088,29.04181146
-2.014622223,-3.551112585,-3.328776,40.56514941,-43.64353358,-40.78192596
1.779340502,-3.368461457,-2.161987112,-44.82678195,-42.1545481,12.74692511
1.950219306,-2.709954798,-4.249772527,62.82173129,34.29166844,-7.359866705
-0.411893508,0.942325709,-2.70740039,-3.220023234,19.67821514,-35.13296389
1.85755676,3.70635291,-4.199447994,62.69120056,-35.22527723,-34.93342856
